Roll No,Name,Email,Phone,Year
1001,John Doe,john.doe@example.com,9876543210,Year 1
1002,Jane Smith,jane.smith@example.com,9876543211,Year 1
1003,Michael Johnson,michael.j@example.com,9876543212,Year 1
1004,Sarah Williams,sarah.w@example.com,9876543213,Year 1
1005,David Brown,david.brown@example.com,9876543214,Year 1
1006,Emily Davis,emily.davis@example.com,9876543215,Year 1
1007,Robert Miller,robert.m@example.com,9876543216,Year 1
1008,Lisa Wilson,lisa.wilson@example.com,9876543217,Year 1
1009,James Moore,james.moore@example.com,9876543218,Year 1
1010,Mary Taylor,mary.taylor@example.com,9876543219,Year 1
